Subcellular_location,Glucose,Glycerol _AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Xylose,Mannose,Galactose ,Succinate,Fructose
Cell inner membrane,8.27,10.03,7.84,9.24,9.97,9.91,11.60,8.81,9.37,7.53,9.65,9.97
Cell membrane,1.61,1.19,1.75,1.82,1.83,1.71,1.66,1.67,1.65,1.95,1.59,1.50
Cell outer membrane,12.63,12.19,11.06,11.38,13.34,12.22,11.38,13.18,10.12,10.10,11.07,10.77
Cytoplasm,67.87,68.00,68.84,64.53,62.93,64.32,62.92,67.53,65.70,64.31,65.13,67.87
Membrane,0.07,0.07,0.07,0.08,0.07,0.07,0.09,0.07,0.07,0.08,0.07,0.06
Periplasm,9.50,8.47,10.41,12.89,11.80,11.72,12.31,8.70,13.03,15.99,12.43,9.80
Secreted,0.05,0.05,0.04,0.05,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.03
Standard Deviation Periplasm,0.05,0.30,0.74,0.10,0.19,0.05,0.48,0.37,0.38,0.80,0.44,0.24
Standard Deviation Cytoplasm,0.55,0.13,0.89,0.46,0.53,0.73,1.44,0.80,0.28,0.72,0.80,0.87
Ratio (Periplasm/Cytoplasm),0.14,0.12,0.15,0.20,0.19,0.18,0.20,0.13,0.20,0.25,0.19,0.14
