Entry	Mass	Gene Names (ordered locus)	Subunit structure	Subcellular location [CC]
A5A616	3509	b4599 JW1527.1	SUBUNIT: Interacts with MgtA. {ECO:0000269|PubMed:28512220}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:21778229, ECO:0000305|PubMed:19121005}; Single-pass membrane protein {ECO:0000269|PubMed:21778229}.
O32583	7311	b4407 JW3955		
P00350	51481	b2029 JW2011	SUBUNIT: Homodimer. {ECO:0000269|PubMed:19686854}.	
P00363	65972	b4154 JW4115	SUBUNIT: Part of an enzyme complex containing four subunits: a flavoprotein (FrdA), an iron-sulfur protein (FrdB), and two hydrophobic anchor proteins (FrdC and FrdD) (PubMed:10373108, PubMed:11850430). Can be cross-linked to SdhE (PubMed:26644464). Purified from membrane fractions associated with protoporphyrinogen IX dehydrogenase (hemG) (PubMed:20484676). {ECO:0000269|PubMed:10373108, ECO:0000269|PubMed:11850430, ECO:0000269|PubMed:20484676, ECO:0000269|PubMed:26644464, ECO:0000305|PubMed:26644464}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:10373108, ECO:0000305|PubMed:20484676}; Peripheral membrane protein {ECO:0000305|PubMed:10373108}; Cytoplasmic side {ECO:0000305|PubMed:10373108}.
P00370	48581	b1761 JW1750	SUBUNIT: Homohexamer. {ECO:0000269|PubMed:235298, ECO:0000269|PubMed:241744, ECO:0000269|Ref.12}.	
P00393	47359	b1109 JW1095	SUBUNIT: Monomer (PubMed:7020757). Forms a supercomplex with the NADH:quinone oxidoreductase NDH-1 in the aerobic respiratory chain (PubMed:21040753). {ECO:0000269|PubMed:21040753, ECO:0000269|PubMed:7020757}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:2679883, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:6784762, ECO:0000269|PubMed:7009604, ECO:0000269|PubMed:7020757}; Peripheral membrane protein {ECO:0000269|PubMed:10664466, ECO:0000305|PubMed:12176061}; Cytoplasmic side {ECO:0000305|PubMed:12176061}. Note=Membrane-bound (PubMed:10664466). Interaction with the membrane is probably mediated by amphipathic helices and electrostatic interactions (PubMed:15581635). Copurifies with phospholipids (PubMed:7020757, PubMed:6362717). {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:15581635, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:7020757}.
P00448	23097	b3908 JW3879	SUBUNIT: Homodimer.	
P00452	85775	b2234 JW2228	SUBUNIT: Tetramer of two alpha (R1) and two beta (R2) subunits. The B1 protein is a dimer of alpha subunits. A radical transfer pathway occurs between 'Tyr-122' of R2 and R1. {ECO:0000269|PubMed:9309223, ECO:0000269|PubMed:9395490}.	
P00490	90522	b3417 JW5689	SUBUNIT: Homodimer.	
P00509	43573	b0928 JW0911	SUBUNIT: Homodimer. {ECO:0000269|PubMed:17713924}.	SUBCELLULAR LOCATION: Cytoplasm.
